id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21743376,Schöne Wohnung mit Balkon in Berlin Mitte/F'Hain,35103,Kamal,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.517392227249765,13.43726650232274,Entire home/apt,70,10,12,02/08/2018,1.07,1,
21745265,"Beautiful 45qm 1,5-Room-Apartment in Berlin",158187173,Biko,Neukölln,Rixdorf,52.47186908338287,13.448971078844087,Entire home/apt,45,8,4,24/09/2018,1.36,1,1
21746656,Penthouse Bedroom w/ Fireplace & Terrace in Mitte,3455390,Denis,Mitte,Alexanderplatz,52.52813608903383,13.412510008173394,Private room,50,3,51,04/11/2018,4.55,5,11
21747227,2-Zimmer Wohnung im Herzen von Friedrichshain,158422567,Benjamin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.512679195044164,13.466585680971043,Entire home/apt,40,4,1,01/11/2018,1.0,1,5
21757648,Cozy one room apartment in the heart of Berlin,158159901,Juli,Mitte,Alexanderplatz,52.522284628163874,13.381495441121059,Entire home/apt,60,2,38,29/10/2018,3.29,1,
21759319,"Central, cosy and airy apartment in Kreuzberg",17029506,Katrin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.496978746291255,13.382924991706103,Entire home/apt,50,1,73,04/11/2018,6.42,1,
21760861,Penthouse with private roof deck!,356836,Joshua,Pankow,Prenzlauer Berg Süd,52.53458609856281,13.433894506539355,Private room,75,3,16,04/11/2018,1.54,1,6
21764632,The cave,15490684,Evi,Neukölln,Reuterstraße,52.484675694188944,13.43906416519803,Entire home/apt,80,3,11,05/11/2018,0.96,1,5
21765481,Gemütliches Zimmer nah der Spree,32146322,Jil,Mitte,Moabit West,52.52354848452385,13.3385762516974,Private room,25,2,11,10/09/2018,1.22,2,
21767131,Comfortable Room with a Balcony in Kreuzberg,52206297,Miri,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49257407776324,13.395118069940764,Private room,29,2,22,21/10/2018,1.86,1,
21768864,Cosy room in Central Berlin Mitte Alexanderplatz,158606993,Mai,Mitte,Alexanderplatz,52.52430613753809,13.421107783982654,Private room,39,2,78,04/11/2018,6.61,1,8
21773196,Central Apartment by big Park near Potsdamer Platz,115790786,Pascal / Dennis,Mitte,Tiergarten Süd,52.500077390468206,13.367878956894751,Entire home/apt,150,1,62,28/10/2018,5.24,6,29
21775666,Spacious & lovely home for you in Berlin,158664044,Jen,Pankow,Prenzlauer Berg Nordwest,52.55359897419852,13.410997879766029,Private room,89,2,21,16/09/2018,2.03,1,3
21777048,Bright room in Neukölln overlooking Templehof,861222,Zach,Neukölln,Schillerpromenade,52.474833049363255,13.41919747105376,Private room,32,3,13,01/05/2018,1.23,1,
21778245,"134 sqm of bright, newly-renovated charm in Mitte.",493400,Sarah-Jane,Mitte,Alexanderplatz,52.534919661809575,13.376523539570313,Entire home/apt,130,2,10,16/08/2018,0.96,1,
21778414,Cozy quite room close to Alexanderplatz & TV-Tower,16894316,Paul,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5233929189674,13.438324552195379,Private room,32,1,15,03/05/2018,1.67,3,
21779228,Charming 4rm Family Apartment on Ring Bahn,69593480,Jessie,Charlottenburg-Wilm.,Wiesbadener Straße,52.477729109075725,13.309827845095532,Entire home/apt,120,4,15,28/10/2018,2.33,2,3
21783197,Cozy and charming big room in central Neukölln,158722025,Simon + Claudia,Neukölln,Reuterstraße,52.4828056678604,13.433500099111638,Private room,38,3,38,25/09/2018,3.23,1,4
21791938,Gemütliches Zimmer in Maisonette & guter Lage,158804162,Kata,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5226419854591,13.44790912178722,Private room,30,1,80,18/10/2018,6.74,1,32
21795570,"Kreuzberg, tolle Lage, ruhige Erdgeschoss Wohnung,",125552056,Kylo,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48976569848644,13.403295126764272,Entire home/apt,44,2,71,03/11/2018,6.09,1,
21796011,Cosy room in the center of Kreuzberg,16109448,Janne,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.501667290149534,13.419954305397585,Private room,30,4,18,17/10/2018,1.79,1,1
21798811,Looking forward for guests from everywhere.,72326406,Mandy,Charlottenburg-Wilm.,Barstraße,52.480282189203415,13.32009477249323,Private room,40,2,33,04/11/2018,2.86,1,1
21805209,"Cosy Room in Calm Place, Fast Train to Downtown!:)",13002307,Sarathy,Steglitz - Zehlendorf,Lankwitz,52.428205341699034,13.335108476814492,Private room,18,3,18,28/09/2018,1.56,2,30
21807593,Bed in 6 bed female dorm Nr. 9,109995917,Inn-Berlin,Mitte,Osloer Straße,52.56016245146364,13.386749450720409,Shared room,17,2,9,29/10/2018,1.86,14,36
21808006,"Toplage!Loft/Studio (Kunsthaus Mitte)f. 1-4 Pers",155186849,Erich,Mitte,Alexanderplatz,52.52612604525935,13.405064873482923,Private room,67,1,12,21/10/2018,1.09,1,16
21808188,Studiozimmer in WG mit Garten in bester Lage,129993012,Daniel,Mitte,Brunnenstr. Nord,52.54646617913439,13.380732766065412,Private room,21,4,2,30/09/2018,1.15,1,
21809005,2 bed room with ensuite bathroom Nr. 2,109995917,Inn-Berlin,Mitte,Osloer Straße,52.55996944033195,13.386916973358591,Private room,50,2,4,01/11/2018,0.94,14,33
21809592,Paul Robeson Str. with 2 BR,158959100,Trine,Pankow,Prenzlauer Berg Nordwest,52.55277246376049,13.406053249095443,Entire home/apt,120,3,13,28/10/2018,1.13,1,31
21812023,"BIG room/Balcony/View of river, museums, cathedral",2156512,Carlos,Mitte,Alexanderplatz,52.52363229585283,13.398877165423634,Private room,84,1,51,01/11/2018,4.38,1,2
21812927,Stunning 2 bedroom flat in Prenzlauerberg,2854667,Mike,Pankow,Prenzlauer Berg Nord,52.5512855211409,13.417309950885658,Entire home/apt,99,1,27,02/11/2018,2.49,3,30
21819946,Bed in 8 bed mixed dorm E1,109995917,Inn-Berlin,Mitte,Osloer Straße,52.55989751914819,13.386016742072314,Shared room,14,2,17,03/11/2018,2.31,14,32
21824032,At home in Berlin-Kreuzberg,159092679,Lisa,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.501278638834115,13.417664572637678,Private room,45,2,62,21/10/2018,5.6,1,30
21826105,"Große, ruhige Wohnung mit guter Anbindung",36810462,Hannah,Reinickendorf,West 4,52.57440623381398,13.330822196687608,Entire home/apt,30,2,20,04/11/2018,1.9,2,2
21832722,Gästezimmer in zentraler Lage,26566483,Fanny-Marie,Mitte,Moabit West,52.52781396476153,13.332889308331938,Private room,25,1,11,25/10/2018,0.98,1,1
21835452,"Large rooftop studio with terrace, fireplace, view",157528531,Marein,Pankow,Prenzlauer Berg Südwest,52.53190785625232,13.416360403999942,Entire home/apt,120,4,26,21/10/2018,2.3,1,27
21841981,Lovely Apartment Prenzlauer Berg with balcony,159278372,Julie,Pankow,Helmholtzplatz,52.540863340588565,13.416304863960224,Entire home/apt,85,2,15,14/07/2018,1.29,1,6
21843298,Beautiful home right in front of the park,49710990,Mustafa,Tempelhof - Schöneberg,Schöneberg-Süd,52.482643949898325,13.345016506903365,Private room,30,2,50,22/10/2018,4.32,1,
21843916,Fluffy room in our Flashare :3,13247054,Simon,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.508719887845984,13.456283196879095,Private room,39,6,23,30/10/2018,2.0,1,
21844219,Bed in 6 bed female dorm E4,109995917,Inn-Berlin,Mitte,Osloer Straße,52.5600062426881,13.386251709471813,Shared room,14,2,11,28/10/2018,1.02,14,31
21844344,Bed in 6 bed mixed dorm E3,109995917,Inn-Berlin,Mitte,Osloer Straße,52.5599017134693,13.38672558334518,Shared room,14,2,16,02/11/2018,1.69,14,32
21849524,"Spacious, light room with balcony in Gesundbrunnen",13486881,Milda,Mitte,Osloer Straße,52.55687134893197,13.389061379663762,Private room,30,2,11,10/09/2018,1.05,1,
21849768,"Comfortable, warm apartment in the heart of Berlin",7667724,Matthias,Mitte,Tiergarten Süd,52.50212165113402,13.36767261972868,Private room,30,1,64,24/10/2018,6.0,1,3
21855999,Große Altbauwohnung mit Südbalkon im Prenzlberg,43758020,Danie,Pankow,Prenzlauer Berg Ost,52.534104064831425,13.442653131601135,Entire home/apt,65,2,6,07/10/2018,1.58,1,9
21858145,Private room + private bathroom in Friedrichshain,97261707,Julia,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51685916135399,13.47074904081045,Private room,50,1,7,07/08/2018,1.2,1,
21859637,Let in the Light at a Sunny Room with Soft Trailing Plants,23337222,Mae & Mike,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48984883168806,13.422645537339475,Private room,50,1,42,01/11/2018,4.08,1,16
21862441,Edgy urban flat in Mitte,65474797,Aleksandar,Mitte,Alexanderplatz,52.529907259367896,13.401307123590264,Entire home/apt,65,1,17,27/05/2018,1.53,1,
