id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27798192,2 room flat in schillerkiez,197648020,Philipp,Neukölln,Schillerpromenade,52.48113874445647,13.422454637761383,Entire home/apt,70,14,2,11/10/2018,0.86,1,
27807503,Berlin Condo,10968081,Simcha,Steglitz - Zehlendorf,Teltower Damm,52.43237366206456,13.269476439092015,Entire home/apt,50,2,0,,,3,17
27818894,Berliner 2 Raum Wonung am Kotti,56575306,Lucie,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49707763621088,13.417770224653436,Private room,40,2,0,,,1,
27821826,"Großes, helles Zimmer in zentraler Lage (Neukölln)",8968629,David,Neukölln,Britz,52.45317703455017,13.438260941781362,Private room,35,2,0,,,2,7
27823432,Cosy room in heart of Neukölln,38826273,Sanaz,Neukölln,Schillerpromenade,52.465918836939075,13.421106568646016,Private room,27,18,1,01/10/2018,0.79,1,2
27829482,LOVELY & COLORFUL STUDIO IN NEUKÖLLN,7436166,Annemarie,Neukölln,Schillerpromenade,52.476118712173424,13.425345282304558,Entire home/apt,35,90,1,12/09/2018,0.53,1,17
27833356,Zimmer/Room Berlin Wedding,209983511,Simon,Mitte,Wedding Zentrum,52.549210003447946,13.360278257005447,Private room,25,14,1,30/09/2018,0.77,1,3
27839533,"Taut lässt grüßen, pflanzenbasiert frühstücken",16164765,Elisabeth,Charlottenburg-Wilm.,Heerstrasse,52.497611341460576,13.264377395359833,Private room,66,2,0,,,1,1
27840053,gemütliches Zimmer in Neukölln am Tempelhofer Feld,210245575,Lisa,Neukölln,Schillerpromenade,52.46900941345907,13.422084481007829,Private room,35,7,1,18/09/2018,0.59,1,4
27845478,"Zimmer in Altbauwohnung im Grünen, nahe SXF",210285935,Karin,Treptow - Köpenick,Johannisthal,52.44291427353168,13.50011911914066,Private room,60,1,2,08/09/2018,0.92,1,3
27858308,Luxury home away from home in the heart of Berlin!,1657289,Emily,Tempelhof - Schöneberg,Schöneberg-Süd,52.49281573794718,13.345330309978978,Entire home/apt,80,4,2,04/11/2018,0.8,2,
27868327,"Spacious, industrial penthouse in central location",210506039,Julia,Pankow,Prenzlauer Berg Süd,52.537268572952485,13.428262809328658,Entire home/apt,93,31,0,,,1,15
27870047,2 Zimmer für bis zu 6 Personen ruhig und zentral,8676237,Maria,Pankow,Pankow Zentrum,52.563543576724115,13.394990229217452,Private room,80,3,0,,,1,
27870363,fantastic rooftop apartment - partly furnished,1702081,Agnes,Mitte,Brunnenstr. Süd,52.53812278493393,13.401458909771664,Entire home/apt,115,90,0,,,3,36
27872203,Well-Situated Apartment in Prenzlauer Berg,210545456,Berkan,Pankow,Prenzlauer Berg Süd,52.53864835972745,13.424473236613645,Private room,50,4,2,28/09/2018,0.8,1,9
27875676,Great fully-equipped apartment in Prenzlauer Berg,48243116,Felix,Pankow,Prenzlauer Berg Nordwest,52.54691030346414,13.41314581247626,Entire home/apt,90,2,0,,,1,2
